#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_41_length_44791_cov_39.437601:31732-33159|-   -            476 1856                 -            474  6.1e-284  940.0   0.0   1   1  1.5e-286  6.9e-284  939.8   0.0     1   474     1   475     1   475 0.99 NODE_41_length_44791_cov_39.437601_37 # 31732 # 33159 # -1 # ID=41_37;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.543
NODE_148_length_1031_cov_94.602876:1-1029|+        -            343 1856                 -            474   1.5e-23   81.3   0.0   1   1   1.3e-25   5.9e-23   79.4   0.0    83   326     6   250     4   269 0.80 NODE_148_length_1031_cov_94.602876_1 # 1 # 1029 # 1 # ID=148_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.539
NODE_99_length_8647_cov_35.430047:2366-4210|+      -            615 1856                 -            474   4.4e-18   63.3   0.0   1   3      0.91   4.2e+02   -2.5   0.0    32    44     5    17     3    25 0.88 NODE_99_length_8647_cov_35.430047_3 # 2366 # 4210 # 1 # ID=99_3;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.567
NODE_99_length_8647_cov_35.430047:2366-4210|+      -            615 1856                 -            474   4.4e-18   63.3   0.0   2   3   4.3e-17     2e-14   51.3   0.0    83   175    26   119    21   142 0.88 NODE_99_length_8647_cov_35.430047_3 # 2366 # 4210 # 1 # ID=99_3;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.567
NODE_99_length_8647_cov_35.430047:2366-4210|+      -            615 1856                 -            474   4.4e-18   63.3   0.0   3   3    0.0003      0.14    9.0   0.0   264   329   193   261   170   317 0.79 NODE_99_length_8647_cov_35.430047_3 # 2366 # 4210 # 1 # ID=99_3;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.567
NODE_9_length_123825_cov_37.296666:19181-20980|+   -            600 1856                 -            474   5.9e-11   39.8   0.0   1   2   1.4e-12   6.4e-10   36.4   0.0    79   179    38   142     2   155 0.83 NODE_9_length_123825_cov_37.296666_19 # 19181 # 20980 # 1 # ID=9_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.537
NODE_9_length_123825_cov_37.296666:19181-20980|+   -            600 1856                 -            474   5.9e-11   39.8   0.0   2   2      0.12        56    0.3   0.0   267   295   212   240   192   272 0.80 NODE_9_length_123825_cov_37.296666_19 # 19181 # 20980 # 1 # ID=9_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.537
NODE_17_length_86457_cov_41.702653:66920-68743|-   -            608 1856                 -            474   3.1e-10   37.5   0.3   1   1     3e-12   1.4e-09   35.3   0.3    81   319    42   285     4   303 0.75 NODE_17_length_86457_cov_41.702653_70 # 66920 # 68743 # -1 # ID=17_70;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.533
NODE_8_length_126545_cov_41.885285:100508-103180|+ -            891 1856                 -            474   9.7e-10   35.8   0.0   1   2   8.6e-11     4e-08   30.5   0.0    90   211   421   539   411   548 0.85 NODE_8_length_126545_cov_41.885285_96 # 100508 # 103180 # 1 # ID=8_96;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.535
NODE_8_length_126545_cov_41.885285:100508-103180|+ -            891 1856                 -            474   9.7e-10   35.8   0.0   2   2     0.027        12    2.5   0.0   262   324   811   877   799   888 0.85 NODE_8_length_126545_cov_41.885285_96 # 100508 # 103180 # 1 # ID=8_96;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.535
NODE_31_length_58399_cov_38.812466:44933-46522|-   -            530 1856                 -            474   1.7e-07   28.4   0.1   1   2   1.1e-09   5.2e-07   26.8   0.0    83   171    58   145    45   159 0.88 NODE_31_length_58399_cov_38.812466_42 # 44933 # 46522 # -1 # ID=31_42;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.536
