#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_157429_cov_38.171358:121691-122413|- -            241 62145                -            238  6.2e-145  478.9   0.0   1   1  2.1e-147    7e-145  478.7   0.0     1   237     2   238     2   239 0.99 NODE_2_length_157429_cov_38.171358_114 # 121691 # 122413 # -1 # ID=2_114;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.539
NODE_36_length_50779_cov_38.268459:24087-24872|-   -            262 62145                -            238   2.2e-10   38.4   0.0   1   1   7.9e-13   2.7e-10   38.2   0.0    56   183    45   175    27   220 0.79 NODE_36_length_50779_cov_38.268459_18 # 24087 # 24872 # -1 # ID=36_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NODE_25_length_79707_cov_37.284883:29188-30336|-   -            383 62145                -            238   2.7e-07   28.3   0.0   1   1   1.2e-09   4.1e-07   27.7   0.0    19   159   134   268   116   283 0.77 NODE_25_length_79707_cov_37.284883_28 # 29188 # 30336 # -1 # ID=25_28;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.480
NODE_8_length_126545_cov_41.885285:13880-14761|-   -            294 62145                -            238   3.1e-06   24.9   0.0   1   1   1.4e-08   4.5e-06   24.3   0.0    51   102   154   206   141   226 0.86 NODE_8_length_126545_cov_41.885285_15 # 13880 # 14761 # -1 # ID=8_15;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.549
NODE_77_length_15753_cov_35.008191:11624-12394|-   -            257 62145                -            238   4.5e-06   24.3   0.0   1   1   1.9e-08   6.3e-06   23.9   0.0    56   155    45   144    22   165 0.90 NODE_77_length_15753_cov_35.008191_13 # 11624 # 12394 # -1 # ID=77_13;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.490
NODE_16_length_86943_cov_42.279511:70435-71190|+   -            252 62145                -            238     9e-05   20.1   0.0   1   1   3.6e-07   0.00012   19.6   0.0    18   155    28   167    12   182 0.81 NODE_16_length_86943_cov_42.279511_64 # 70435 # 71190 # 1 # ID=16_64;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.521
NODE_106_length_5751_cov_31.610775:1415-2083|-     -            223 62145                -            238   0.00033   18.2   0.0   1   1   1.5e-06    0.0005   17.6   0.0    56   159    54   160    43   167 0.88 NODE_106_length_5751_cov_31.610775_3 # 1415 # 2083 # -1 # ID=106_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.408
NODE_6_length_131096_cov_36.333598:56161-57132|-   -            324 62145                -            238   0.00094   16.7   0.0   1   1   4.5e-06    0.0015   16.1   0.0    49   159   116   227   106   246 0.73 NODE_6_length_131096_cov_36.333598_55 # 56161 # 57132 # -1 # ID=6_55;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.522
NODE_72_length_16341_cov_36.526767:6500-7255|+     -            252 62145                -            238   0.00099   16.7   0.0   1   1   5.8e-06     0.002   15.7   0.0    58    97    45    84    38   146 0.73 NODE_72_length_16341_cov_36.526767_8 # 6500 # 7255 # 1 # ID=72_8;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.561
NODE_31_length_58399_cov_38.812466:48236-49309|+   -            358 62145                -            238    0.0012   16.4   0.0   1   1   5.8e-06    0.0019   15.7   0.0    57   102   198   245   188   265 0.77 NODE_31_length_58399_cov_38.812466_46 # 48236 # 49309 # 1 # ID=31_46;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.558
NODE_40_length_46585_cov_37.455939:2064-2657|-     -            198 62145                -            238    0.0014   16.2   0.0   1   1   5.2e-06    0.0018   15.8   0.0    56   152    31   128    12   137 0.69 NODE_40_length_46585_cov_37.455939_3 # 2064 # 2657 # -1 # ID=40_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.456
