#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_614_length_35137_cov_72.104843:3952-4773|-    -            274 9883                 -            258   4.7e-62  207.5   0.0   1   1     2e-64   6.2e-62  207.1   0.0    10   255     8   266     2   268 0.89 NODE_614_length_35137_cov_72.104843_6 # 3952 # 4773 # -1 # ID=265_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.532
NODE_2185_length_35330_cov_74.210983:26526-27152|- -            209 9883                 -            258   8.2e-08   29.8   0.0   1   1   3.7e-10   1.2e-07   29.3   0.0    24    95    60   132    48   162 0.86 NODE_2185_length_35330_cov_74.210983_29 # 26526 # 27152 # -1 # ID=1088_29;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.534
NODE_926_length_95421_cov_71.123581:13149-13886|+  -            246 9883                 -            258     1e-05   22.9   0.0   1   1   4.7e-08   1.5e-05   22.4   0.0    40   113    45   126    35   129 0.81 NODE_926_length_95421_cov_71.123581_13 # 13149 # 13886 # 1 # ID=386_13;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.535
NODE_2129_length_51924_cov_72.758377:2969-4042|-   -            358 9883                 -            258   6.5e-05   20.3   0.0   1   1   3.3e-07    0.0001   19.6   0.0    34   113   191   272   185   289 0.87 NODE_2129_length_51924_cov_72.758377_5 # 2969 # 4042 # -1 # ID=1066_5;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.558
NODE_482_length_21709_cov_69.527618:11470-12303|-  -            278 9883                 -            258   7.5e-05   20.1   0.0   1   1   3.7e-07   0.00012   19.4   0.0    40   112   110   186    95   190 0.82 NODE_482_length_21709_cov_69.527618_14 # 11470 # 12303 # -1 # ID=196_14;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.558
NODE_1999_length_25587_cov_66.390984:15953-16708|+ -            252 9883                 -            258   0.00014   19.2   0.0   1   1   5.7e-07   0.00018   18.8   0.0     9    82    12    85     5   120 0.80 NODE_1999_length_25587_cov_66.390984_16 # 15953 # 16708 # 1 # ID=982_16;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.561
NODE_142_length_13006_cov_73.540901:2901-4202|+    -            434 9883                 -            258   0.00017   18.9   0.0   1   1   9.1e-07   0.00028   18.2   0.0    23    81   270   328   264   350 0.88 NODE_142_length_13006_cov_73.540901_2 # 2901 # 4202 # 1 # ID=32_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.514
NODE_434_length_79075_cov_70.223480:29068-30216|-  -            383 9883                 -            258   0.00027   18.2   0.0   1   1   1.4e-06   0.00042   17.6   0.0    27   108   155   234   146   236 0.91 NODE_434_length_79075_cov_70.223480_28 # 29068 # 30216 # -1 # ID=160_28;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.480
NODE_299_length_31306_cov_74.835876:17472-18608|-  -            379 9883                 -            258    0.0012   16.1   0.0   1   1   6.8e-06    0.0021   15.3   0.0    29   121   218   317   215   325 0.74 NODE_299_length_31306_cov_74.835876_15 # 17472 # 18608 # -1 # ID=91_15;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.541
NODE_592_length_39318_cov_75.666641:33618-34484|-  -            289 9883                 -            258    0.0012   16.1   0.0   1   1   6.4e-06     0.002   15.4   0.0    35    84    73   124    58   159 0.73 NODE_592_length_39318_cov_75.666641_29 # 33618 # 34484 # -1 # ID=257_29;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.504
NODE_2159_length_50550_cov_71.258598:23982-24767|- -            262 9883                 -            258    0.0046   14.2   0.0   1   1   1.9e-05     0.006   13.8   0.0    39    99    44   106    20   113 0.83 NODE_2159_length_50550_cov_71.258598_18 # 23982 # 24767 # -1 # ID=1079_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NODE_2145_length_112275_cov_77.552353:1-711|-      -            237 9883                 -            258    0.0097   13.1   0.0   1   1   4.1e-05     0.013   12.7   0.0    33    83   153   203   146   231 0.73 NODE_2145_length_112275_cov_77.552353_1 # 1 # 711 # -1 # ID=1072_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.550
NODE_2487_length_42213_cov_77.013382:38085-39185|- -            367 9883                 -            258     0.011   13.0   0.0   1   1   5.8e-05     0.018   12.3   0.0    32    97   204   269   194   276 0.77 NODE_2487_length_42213_cov_77.013382_31 # 38085 # 39185 # -1 # ID=1291_31;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.503
NODE_644_length_31137_cov_72.486465:3913-4635|-    -            241 9883                 -            258     0.011   12.9   0.1   1   1   5.3e-05     0.017   12.4   0.1    40    68    57    85    43   108 0.87 NODE_644_length_31137_cov_72.486465_3 # 3913 # 4635 # -1 # ID=277_3;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.539
NODE_718_length_90501_cov_69.003258:89058-89867|+  -            270 9883                 -            258     0.012   12.8   0.0   1   1   5.6e-05     0.017   12.3   0.0    26    77    73   123    69   149 0.74 NODE_718_length_90501_cov_69.003258_90 # 89058 # 89867 # 1 # ID=299_90;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.514
